,Ind,Name,Date,Time
0,1,kyle,2020-09-29,3.083608
1,2,kyle,2020-09-29,0.87804
2,3,kyle,2020-09-29,0.772191
3,4,kyle,2020-09-29,0.876557
4,5,kyle,2020-09-29,0.828354
5,6,kyle,2020-09-29,3.466752
6,6,kyle,2020-09-30,0.0
7,7,kyle,2020-09-30,0.0
8,8,kyle,2020-09-30,0.0
9,9,kyle,2020-09-30,1.188231
10,10,kyle,2020-09-30,1.342051
11,11,kyle,2020-09-30,1.392173
12,12,kyle,2020-09-30,1.080318
13,13,kyle,2020-09-30,0.686143
14,14,kyle,2020-09-30,0.547988
15,15,kyle,2020-09-30,0.412156
16,16,kyle,2020-09-30,1.791585
17,17,kyle,2020-09-30,1.196651
18,0,Peter,2020-09-30,5.001923
19,1,Peter,2020-09-30,1.602715
20,2,Peter,2020-09-30,1.198889
21,3,Peter,2020-09-30,0.658421
22,4,Peter,2020-09-30,0.551456
23,5,Peter,2020-09-30,0.513506
24,6,Peter,2020-09-30,0.448718
25,7,Peter,2020-09-30,0.96195
26,8,Peter,2020-09-30,0.619702
27,9,Peter,2020-09-30,0.647044
28,10,Peter,2020-09-30,0.534411
29,11,Peter,2020-09-30,0.620527
30,12,Peter,2020-09-30,0.484375
31,13,Peter,2020-09-30,1.149567
32,14,Peter,2020-09-30,0.541557
33,15,Peter,2020-09-30,0.479342
34,16,Peter,2020-09-30,0.521006
35,17,Peter,2020-09-30,0.398108
36,0,Steve,2020-09-30,0.0
37,1,Steve,2020-09-30,0.562283
38,2,Steve,2020-09-30,0.505162
39,3,Steve,2020-09-30,0.499206
40,4,Steve,2020-09-30,0.496974
41,5,Steve,2020-09-30,0.53323
42,6,Steve,2020-09-30,0.494332
43,7,Steve,2020-09-30,0.506991
44,8,Steve,2020-09-30,0.468846
45,9,Steve,2020-09-30,0.475892
46,10,Steve,2020-09-30,0.435275
47,11,Steve,2020-09-30,0.36227
48,12,Steve,2020-09-30,1.909514
49,13,Steve,2020-09-30,1.024915
50,14,Steve,2020-09-30,0.692282
51,15,Steve,2020-09-30,0.386993
52,16,Steve,2020-09-30,0.386226
53,17,Steve,2020-09-30,0.380171
54,18,Steve,2020-09-30,0.389594
55,19,Steve,2020-09-30,0.595583
56,20,Steve,2020-09-30,0.448269
57,21,Steve,2020-09-30,0.565196
58,22,Steve,2020-09-30,0.526679
59,23,Steve,2020-09-30,0.481434
60,0,Beth,2020-09-30,1.186588
61,1,Beth,2020-09-30,0.458593
62,2,Beth,2020-09-30,0.504523
63,3,Beth,2020-09-30,0.432411
64,4,Beth,2020-09-30,0.519686
65,5,Beth,2020-09-30,1.957184
66,6,Beth,2020-09-30,0.458229
67,7,Beth,2020-09-30,2.175034
68,8,Beth,2020-09-30,0.401651
69,9,Beth,2020-09-30,0.389621
70,10,Beth,2020-09-30,0.429194
71,11,Beth,2020-09-30,0.383034
72,12,Beth,2020-09-30,0.396035
73,13,Beth,2020-09-30,0.418632
74,14,Beth,2020-09-30,0.397917
75,15,Beth,2020-09-30,0.366594
76,16,Beth,2020-09-30,0.365207
77,17,Beth,2020-09-30,0.401001
78,18,Beth,2020-09-30,0.408273
79,19,Beth,2020-09-30,0.366586
80,20,Beth,2020-09-30,0.383116
81,21,Beth,2020-09-30,0.381088
82,22,Beth,2020-09-30,0.375726
83,23,Beth,2020-10-01,1.57326
84,24,Beth,2020-10-01,0.698725
85,25,Beth,2020-10-01,0.544051
